id,image_id,api_link,title,artist_title,date_start,date_end,date_display,place_of_origin,medium_display,artwork_type_title,category_titles
16333,19b940dd-bb34-8ce7-601a-cb3fa1010f97,https://api.artic.edu/api/v1/artworks/16333,The Annunciation,Johann Koerbecke,1420.0,1457.0,Completed by 1457,Germany,"Oil on panel, transferred to canvas",Painting,['Painting and Sculpture of Europe']
59971,9f8b265b-3547-2d7a-02c9-46ceade90eb1,https://api.artic.edu/api/v1/artworks/59971,Saints John the Baptist and Catherine of Alexandria,Workshop of Paolo Veneziano,1345.0,1355.0,About 1350,Venice,Tempera on panel,Painting,['Painting and Sculpture of Europe']
100354,4c673558-2a11-d484-fd72-026e7618bcfd,https://api.artic.edu/api/v1/artworks/100354,Saint Peter Martyr Exorcizing a Woman Possessed by a Devil,Antonio Vivarini,1440.0,1455.0,1445/55,Italy,Tempera on panel,Painting,['Painting and Sculpture of Europe']
145244,d308a86f-44fd-c4f0-5cf9-e746590a1d40,https://api.artic.edu/api/v1/artworks/145244,Death in the Garden (Legend),Paul Klee,1919.0,1919.0,1919,Germany,"Oil on cotton, on cardboard nailed to wood",Painting,[]
145242,d1b6707e-f542-cbb7-b52c-18d50e28ce67,https://api.artic.edu/api/v1/artworks/145242,The Grand Arab (He Only Has Sand),Jean Dubuffet,1947.0,1947.0,1947,France,Oil and sand on canvas,Painting,['Contemporary Art']
21722,5d0da1da-57b7-729c-352e-cc738d3871af,https://api.artic.edu/api/v1/artworks/21722,Near Pontoise,Maurice de Vlaminck,1913.0,1925.0,c. 1918/20,France,Oil on canvas,Painting,['Modern Art']
187055,fcd6d586-e83d-7b4c-e7e8-290c1d190e12,https://api.artic.edu/api/v1/artworks/187055,Heaven,Mary Heilmann,2004.0,2004.0,2004,United States,Oil on canvas,Painting,"['Contemporary Art', 'Paintings', 'Women artists']"
202491,b8901161-21c3-7b15-e7f2-09dc3b173153,https://api.artic.edu/api/v1/artworks/202491,5811 South Ellis,Julia Fish,1995.0,1995.0,1995,United States,Oil on canvas,Painting,"['Contemporary Art', 'Women artists', 'Chicago Artists']"
201941,57d6cb9e-1331-1356-5ba0-cee04d49de10,https://api.artic.edu/api/v1/artworks/201941,Red Pine,Judy Ledgerwood,1990.0,1990.0,1990,United States,Oil and encaustic on canvas,Painting,"['Contemporary Art', 'Women artists', 'Chicago Artists']"
9527,20a28ab8-6eac-7ca5-b717-773a0fe7aee5,https://api.artic.edu/api/v1/artworks/9527,Woman with a Fan,Jean Metzinger,1913.0,1913.0,1913,France,Oil on canvas,Painting,['Modern Art']
54745,4c57d38e-c3ca-2e57-057d-7a74f4616fb0,https://api.artic.edu/api/v1/artworks/54745,The Rapidity of Sleep,Yves Tanguy,1945.0,1945.0,1945,United States,Oil on canvas,Painting,['Modern Art']
9148,43249182-2ef0-8d18-3d32-0b9af3606ed3,https://api.artic.edu/api/v1/artworks/9148,Ballet Dancers,Henri de Toulouse-Lautrec,1885.0,1885.0,1885/86,France,"Oil on plaster, transferred to canvas",Painting,['Painting and Sculpture of Europe']
