id,image_id,title,artist_title,date_start,date_end,date_display,place_of_origin,medium_display,artwork_type_title,category_titles
100476,16e53257-ade2-4f5d-3521-2bc9666bc4cf,Beach at Cabasson (Baigne-Cul),Henri Edmond Cross,1891,1892,1891/92,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
14624,4c364c64-2108-4e19-5fc5-1ab26ba924a7,"Stacks of Wheat (End of Day, Autumn)",Claude Monet,1891,1891,1890/91,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
111062,916405d1-1407-d90e-1be8-f8c77f26f546,Te raau rahi (The Big Tree),Paul Gauguin,1891,1891,1891,France,Oil on jute canvas,Painting,['Painting and Sculpture of Europe']
11393,4429b763-efb3-9b73-47be-8ac952881133,Henry Ossawa Tanner,Hermann Dudley Murphy,1891,1896,1891–96,United States,Oil on canvas,Painting,['Arts of the Americas']
64736,29fcf18a-5461-7084-91c3-57799ca55e18,Autumn Woods,George Inness,1891,1894,1891–94,United States,Oil on canvas,Painting,['Arts of the Americas']
64732,a11fa240-7a31-33fc-b209-30e8a455d0d0,Threatening,George Inness,1891,1891,1891,United States,Oil on canvas,Painting,['Arts of the Americas']
44065,e49ad195-1f62-2fd4-f4df-61f0f0f4951f,Just Dessert,William Michael Harnett,1891,1891,1891,United States,Oil on canvas,Painting,"['Drinking and Dining', 'Arts of the Americas']"
64754,4425984b-e241-6413-1404-cdac0fb06518,Moonrise,George Inness,1891,1891,1891,United States,Oil on canvas,Painting,['Arts of the Americas']
22153,ffcef98d-6d38-dc75-65e6-cdff009f883c,Water Carriers on the Nile,John Singer Sargent,1891,1891,1891,United States,Oil on canvas,Painting,['Arts of the Americas']
46423,95137c59-471c-590d-bb17-e9f5eebc7ce7,The Five Virtues,Ren Yi,1890,1900,"Qing dynasty (1644–1911), 1895",China,Hanging scroll; ink and colors on paper,Painting,"['Arts of Asia', 'Arts of Asia 100']"
81568,e5a07fc5-650c-065a-a3e5-8e9ef516137a,Notre Dame de Paris,Jean-François Rafaëlli,1890,1895,1890/95,France,Oil on composition board,Painting,['Painting and Sculpture of Europe']
16648,38f866cb-9000-de5a-e655-d3fb4d8dc056,Woman in Front of a Still Life by Cezanne,Paul Gauguin,1890,1890,1890,France,Oil on linen canvas,Painting,['Painting and Sculpture of Europe']
876,3ef69544-a84c-dfa4-df6a-346b4b59c351,October Day,Jean Charles Cazin,1890,1893,1890/93,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
